"","tournament","prize","surface","round","p1_rank","p2_rank","p1_rank_move","p2_rank_move","p1_age","p2_age","p1_height","p2_height","p1_weight","p2_weight","p1_hand","p2_hand","p1_nat","p2_nat","no_sets","best_of"
"30","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0643028846153846,0.0597590361445783,0.459848484848485,0.415245737211635,0.421052631578947,0.631578947368421,0.485714285714286,0.4,0.6,0.314285714285714,"Right","Right","USA","USA","X2","3"
"31","Brisbane",0.00113275940190304,"Carpet","Roundof32",0.0763221153846154,0.0756626506024096,0.43030303030303,0.421263791374122,0.157894736842105,0.368421052631579,0.485714285714286,0.166666666666667,0.4,0.228571428571429,"Right","Right","Oceania","USA","X2","3"
"32","Sydney1",0.00781007798154198,"Hard","Finals",0.00540865384615385,0.000481927710843373,0.435606060606061,0.409729187562688,0.368421052631579,0.473684210526316,0.342857142857143,0.666666666666667,0.2,0.485714285714286,"Right","Right","NEurope","USA","X3","5"
"33","Sydney1",0.00781007798154198,"Hard","SemiFinals",0.000600961538461538,0.00771084337349398,0.431060606060606,0.408726178535607,0.473684210526316,0.526315789473684,0.571428571428571,0.333333333333333,0.457142857142857,0.171428571428571,"Right","Right","USA","USA","X2","3"
"34","Sydney1",0.00781007798154198,"Hard","SemiFinals",0.00540865384615385,0.0240963855421687,0.435606060606061,0.411735205616851,0.368421052631579,0.368421052631579,0.342857142857143,0.566666666666667,0.2,0.571428571428571,"Right","Left","NEurope","USA","X3","3"
"35","Sydney1",0.00781007798154198,"Hard","QuarterFinals",0.000600961538461538,0.0178313253012048,0.431060606060606,0.407723169508526,0.473684210526316,0.736842105263158,0.571428571428571,0.933333333333333,0.457142857142857,0.628571428571429,"Right","Right","USA","USA","X2","3"
"36","Sydney1",0.00781007798154198,"Hard","QuarterFinals",0.00540865384615385,0.0216867469879518,0.435606060606061,0.438314944834504,0.368421052631579,0.789473684210526,0.342857142857143,0.833333333333333,0.2,0.685714285714286,"Right","Right","NEurope","Asia","X2","3"
"37","Sydney1",0.00781007798154198,"Hard","QuarterFinals",0.00961538461538462,0.0419277108433735,0.429545454545455,0.398194583751254,0.526315789473684,0.526315789473684,0.285714285714286,0.566666666666667,0.142857142857143,0.485714285714286,"Right","Left","USA","Oceania","X2","3"
"38","Sydney1",0.00781007798154198,"Hard","QuarterFinals",0.0300480769230769,0.0645783132530121,0.434090909090909,0.445336008024072,0.368421052631579,0.368421052631579,0.485714285714286,0.566666666666667,0.542857142857143,0.485714285714286,"Left","Left","USA","USA","X2","3"
"39","Sydney1",0.00781007798154198,"Hard","Roundof16",0.000600961538461538,0.0674698795180723,0.431060606060606,0.421263791374122,0.473684210526316,0.368421052631579,0.571428571428571,0.566666666666667,0.457142857142857,0.485714285714286,"Right","Left","USA","USA","X2","3"
